service	Voice	description_zh	description_en	avaliable_volume	primary_lang	style	role
Azure	en-US-EmmaNeural	Emma:美女	en-US-Emma: F	-4.087471309951205	en	general	Default
Azure	en-US-JennyNeural	Jenny:美女	en-US-Jenny: F	-1.5824409854096118	en	general,angry,assistant,chat,cheerful,customerservice,excited,friendly,hopeful,newscast,sad,shouting,terrified,unfriendly,whispering	Default
Azure	en-US-AriaNeural	Aria:美女	en-US-Aria: F	-2.040197831610289	en	general,angry,chat,cheerful,customerservice,empathetic,excited,friendly,hopeful,narration-professional,newscast-casual,newscast-formal,sad,shouting,terrified,unfriendly,whispering	Default
Azure	en-US-JaneNeural	Jane:美女	en-US-Jane: F	-2.074430577238825	en	general,angry,cheerful,excited,friendly,hopeful,sad,shouting,terrified,unfriendly,whispering	Default
Azure	en-US-SaraNeural	Sara:美女	en-US-Sara: F	-3.638322306126195	en	general,angry,cheerful,excited,friendly,hopeful,sad,shouting,terrified,unfriendly,whispering	Default
Azure	en-US-NancyNeural	Nancy:美女	en-US-Nancy: F	-0.4206152009955417	en	general,angry,cheerful,excited,friendly,hopeful,sad,shouting,terrified,unfriendly,whispering	Default
Azure	en-US-AmberNeural	Amber:美女	en-US-Amber: F	-2.4624759769427556	en	general	Default
Azure	en-US-AnaNeural	Ana:美女	en-US-Ana: F	-1.9500229002554583	en	general	Default
Azure	en-US-AshleyNeural	Ashley:美女	en-US-Ashley: F	-4.605340088197718	en	general	Default
Azure	en-US-CoraNeural	Cora:美女	en-US-Cora: F	-3.3459006146311836	en	general	Default
Azure	en-US-ElizabethNeural	Elizabeth:美女	en-US-Elizabeth: F	-2.1059107311952907	en	general	Default
Azure	en-US-MichelleNeural	Michelle:美女	en-US-Michelle: F	-4.706862093844258	en	general	Default
Azure	en-US-MonicaNeural	Monica:美女	en-US-Monica: F	-2.279608388145359	en	general	Default
Azure	en-US-AIGenerate2Neural	AIGenerate2:美女	en-US-AIGenerate2: F	1.680452768779496	en	general	Default
Azure	en-US-AndrewNeural	Andrew:美男	en-US-Andrew: M	-1.6847429531737177	en	general	Default
Azure	en-US-BrianNeural	Brian:美男	en-US-Brian: M	-1.5852218049108941	en	general	Default
Azure	en-US-GuyNeural	Guy:美男	en-US-Guy: M	-0.22122652809714438	en	general,angry,cheerful,excited,friendly,hopeful,newscast,sad,shouting,terrified,unfriendly,whispering	Default
Azure	en-US-DavisNeural	Davis:美男	en-US-Davis: M	-3.3708372847719694	en	general,angry,chat,cheerful,excited,friendly,hopeful,sad,shouting,terrified,unfriendly,whispering	Default
Azure	en-US-JasonNeural	Jason:美男	en-US-Jason: M	1.8604776510753034	en	general,angry,cheerful,excited,friendly,hopeful,sad,shouting,terrified,unfriendly,whispering	Default
Azure	en-US-TonyNeural	Tony:美男	en-US-Tony: M	-1.201519601591258	en	general,angry,cheerful,excited,friendly,hopeful,sad,shouting,terrified,unfriendly,whispering	Default
Azure	en-US-BrandonNeural	Brandon:美男	en-US-Brandon: M	-1.3026370373890224	en	general	Default
Azure	en-US-ChristopherNeural	Christopher:美男	en-US-Christopher: M	-3.4922259168804928	en	general	Default
Azure	en-US-EricNeural	Eric:美男	en-US-Eric: M	-1.736811859101099	en	general	Default
Azure	en-US-JacobNeural	Jacob:美男	en-US-Jacob: M	-1.9259955277052967	en	general	Default
Azure	en-US-RogerNeural	Roger:美男	en-US-Roger: M	1.9352133002394396	en	general	Default
Azure	en-US-SteffanNeural	Steffan:美男	en-US-Steffan: M	-3.640517098213195	en	general	Default
Azure	en-US-AIGenerate1Neural	AIGenerate1:美男	en-US-AIGenerate1: M	-0.7695931419602147	en	general	Default
Azure	en-US-BlueNeural	Blue:美中性	en-US-Blue: N	-0.69906302391297	en	general	Default
Azure	en-US-JennyMultilingualNeural	Jenny多语言:美女	en-US-Jenny-multi: F	-1.960680434890783	multi	general	Default
Azure	en-US-AvaMultilingualNeural	Ava多语言:美女	en-US-Ava-multi: F	-2.4322641564379843	multi	general	Default
Azure	en-US-EmmaMultilingualNeural	Emma多语言:美女	en-US-Emma-multi: F	-4.087471309951205	multi	general	Default
Azure	en-US-RyanMultilingualNeural	Ryan多语言:美男	en-US-Ryan-multi: M	-1.6929851391201005	multi	general	Default
Azure	en-US-AndrewMultilingualNeural	Andrew多语言:美男	en-US-Andrew-multi: M	-1.6847429531737177	multi	general	Default
Azure	en-US-BrianMultilingualNeural	Brian多语言:美男	en-US-Brian-multi: M	-1.5852218049108941	multi	general	Default
Beats	dadada	哒哒哒	dadada	0	multi	general	Default
Beats	dududu	嘟嘟嘟	dududu	0	multi	general	Default
Beats	kakaka	咔咔咔	kakaka	0	multi	general	Default
Beats	zizizi	滋滋滋	zizizi	0	multi	general	Default
Tencent	101001	智瑜(情感女声)	智瑜: zh-F	-9.792880667363068	zh	general	Default
Tencent	101002	智聆(通用女声)	智聆: zh-F	-12.08661590887857	zh	general	Default
Tencent	101003	智美(客服女声)	智美: zh-F	-10.571766901894009	zh	general	Default
Tencent	101005	智莉(通用女声)	智莉: zh-F	-12.388381228028255	zh	general	Default
Tencent	101006	智言(助手女声)	智言: zh-F	-9.820934496792702	zh	general	Default
Tencent	101007	智娜(客服女声)	智娜: zh-F	-12.62558574613538	zh	general	Default
Tencent	101008	智琪(客服女声)	智琪: zh-F	-10.694402496969646	zh	general	Default
Tencent	101009	智芸(知性女声)	智芸: zh-F	-11.677092747572617	zh	general	Default
Tencent	101011	智燕(新闻女声)	智燕: zh-F	-8.891769096949512	zh	general	Default
Tencent	101012	智丹(新闻女声)	智丹: zh-F	-11.010079082846902	zh	general	Default
Tencent	101017	智蓉(情感女声)	智蓉: zh-F	-13.255786376998962	zh	general	Default
Tencent	101022	智虹(新闻女声)	智虹: zh-F	-11.204231964426812	zh	general	Default
Tencent	101023	智萱(聊天女声)	智萱: zh-F	-10.15173467422136	zh	general	Default
Tencent	101025	智薇(聊天女声)	智薇: zh-F	-11.663161887107531	zh	general	Default
Tencent	101026	智希(通用女声)	智希: zh-F	-11.466638169878447	zh	general	Default
Tencent	101027	智梅(通用女声)	智梅: zh-F	-10.847933974968644	zh	general	Default
Tencent	101028	智洁(通用女声)	智洁: zh-F	-10.775851489592139	zh	general	Default
Tencent	101032	智芳(通用女声)	智芳: zh-F	-10.873737924213126	zh	general	Default
Tencent	101033	智蓓(客服女声)	智蓓: zh-F	-11.004440725207775	zh	general	Default
Tencent	101034	智莲(通用女声)	智莲: zh-F	-11.438069075521515	zh	general	Default
Tencent	101035	智依(通用女声)	智依: zh-F	-10.574730526479392	zh	general	Default
Tencent	101055	智付(通用女声)	智付: zh-F	-10.9677019148486	zh	general	Default
Tencent	301003	爱小霞(通用女声)	爱小霞: zh-F	-6.423711254542068	zh	general	Default
Tencent	301004	爱小玲(通用女声)	爱小玲: zh-F	-6.8692391487651125	zh	general	Default
Tencent	301009	爱小芸(通用女声)	爱小芸: zh-F	-7.433123161537045	zh	general	Default
Tencent	301010	爱小秋(通用女声)	爱小秋: zh-F	-5.1882241155618765	zh	general	Default
Tencent	301011	爱小芳(通用女声)	爱小芳: zh-F	-6.736581010008017	zh	general	Default
Tencent	301012	爱小琴(通用女声)	爱小琴: zh-F	-7.59747658739192	zh	general	Default
Tencent	301015	爱小璐(通用女声)	爱小璐: zh-F	-7.416089216601247	zh	general	Default
Tencent	301020	爱小岚(通用女声)	爱小岚: zh-F	-7.072637043170021	zh	general	Default
Tencent	301021	爱小茹(通用女声)	爱小茹: zh-F	-9.885330365492536	zh	general	Default
Tencent	301022	爱小蓉(通用女声)	爱小蓉: zh-F	-6.9700378214721255	zh	general	Default
Tencent	301023	爱小燕(通用女声)	爱小燕: zh-F	-7.890271735085923	zh	general	Default
Tencent	301024	爱小莲(通用女声)	爱小莲: zh-F	-10.4273059247583	zh	general	Default
Tencent	301026	爱小雪(通用女声)	爱小雪: zh-F	-8.611554808093217	zh	general	Default
Tencent	301027	爱小媛(通用女声)	爱小媛: zh-F	-7.922501418217509	zh	general	Default
Tencent	301028	爱小娴(通用女声)	爱小娴: zh-F	-8.225451704185485	zh	general	Default
Tencent	301030	爱小溪(对话女声)	爱小溪: zh-F	-12.282734733414785	zh	general	Default
Tencent	301031	爱小树(对话女声)	爱小树: zh-F	-9.189910022516282	zh	general	Default
Tencent	301032	爱小荷(对话女声)	爱小荷: zh-F	-9.797202543127353	zh	general	Default
Tencent	301033	爱小叶(对话女声)	爱小叶: zh-F	-10.432327541154208	zh	general	Default
Tencent	301035	爱小梅(对话女声)	爱小梅: zh-F	-8.043630644615948	zh	general	Default
Tencent	301037	爱小静(对话女声)	爱小静: zh-F	-12.308660362998976	zh	general	Default
Tencent	301038	爱小桃(对话女声)	爱小桃: zh-F	-7.347617404857479	zh	general	Default
Tencent	401000	智妍(活力女声)	智妍: zh-F	-8.268064494338443	zh	general	Default
Tencent	401001	智萱(温暖女声)	智萱: zh-F	-7.814600780483389	zh	general	Default
Tencent	401003	智悦(活力女声)	智悦: zh-F	-7.5374340278371115	zh	general	Default
Tencent	401006	智航(导航女声)	智航: zh-F	-10.195179729045714	zh	general	Default
Tencent	401007	智婷(广告女声)	智婷: zh-F	-7.805095389482933	zh	general	Default
Tencent	401008	智霞(通用女声)	智霞: zh-F	-8.337346699250876	zh	general	Default
Tencent	101016	智甜(女童声)	智甜: zh-C	-9.972573008587883	zh	general	Default
Tencent	101015	智萌(男童声)	智萌: zh-C	-10.422281403510963	zh	general	Default
Tencent	100510000	智逍遥(阅读男声)	智逍遥: zh-M	-10.098686144372792	zh	general	Default
Tencent	101004	智云(通用男声)	智云: zh-M	-10.350617739269605	zh	general	Default
Tencent	101010	智华(通用男声)	智华: zh-M	-11.245473406582597	zh	general	Default
Tencent	101013	智辉(新闻男声)	智辉: zh-M	-8.284794118785065	zh	general	Default
Tencent	101014	智宁(新闻男声)	智宁: zh-M	-9.262586062050026	zh	general	Default
Tencent	101018	智靖(情感男声)	智靖: zh-M	-10.049509742100467	zh	general	Default
Tencent	101020	智刚(新闻男声)	智刚: zh-M	-9.966219029052105	zh	general	Default
Tencent	101021	智瑞(新闻男声)	智瑞: zh-M	-9.295836818715248	zh	general	Default
Tencent	101024	智皓(聊天男声)	智皓: zh-M	-9.44559724656625	zh	general	Default
Tencent	101029	智凯(通用男声)	智凯: zh-M	-10.281423313427723	zh	general	Default
Tencent	101030	智柯(通用男声)	智柯: zh-M	-10.051608036503243	zh	general	Default
